model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd
anthropic_claude-haiku-4.5,Complex.js,1,run1,,490,1130,585,493,52,66,51.76991150442478,5.84070796460177,43.6283185840708,55.38,324,261,0,159.248,923393,122500,0.923393,0.6125,1.5358930000000002
anthropic_claude-haiku-4.5,countries-and-timezones,1,run1,,106,265,167,81,17,10,63.0188679245283,3.7735849056603774,30.566037735849054,79.64,133,34,0,171.79500000000002,100232,26500,0.100232,0.1325,0.232732
anthropic_claude-haiku-4.5,node-jsonfile,1,run1,,68,188,136,46,6,5,72.3404255319149,2.6595744680851063,24.46808510638298,67.65,49,44,43,348.846,53339,17000,0.053339,0.085,0.138339
anthropic_claude-haiku-4.5,pull-stream,1,run1,,351,880,619,209,52,23,70.3409090909091,2.6136363636363633,23.75,62.84,348,230,41,929.033,188727,87685,0.188727,0.438425,0.627152
anthropic_claude-haiku-4.5,spacl-core,1,run1,,134,337,180,127,30,9,53.41246290801187,2.6706231454005933,37.68545994065282,86.98,147,22,0,639.079,155672,33496,0.155672,0.16748,0.323152
anthropic_claude-haiku-4.5,zip-a-folder,1,run1,,49,137,80,45,12,1,58.3941605839416,0.7299270072992701,32.846715328467155,97.5,16,2,62,812.475,81937,12250,0.081937,0.06125,0.143187
anthropic_claude-sonnet-4.5,Complex.js,1,run1,,490,1160,806,337,17,73,69.48275862068965,6.293103448275862,29.051724137931036,55.96,451,355,0,231.77,923393,122495,2.770179,1.837425,4.607604
anthropic_claude-sonnet-4.5,countries-and-timezones,1,run1,,106,284,234,47,3,21,82.3943661971831,7.394366197183098,16.549295774647888,82.05,192,42,0,247.668,100232,25866,0.300696,0.38799,0.688686
anthropic_claude-sonnet-4.5,node-jsonfile,1,run1,,68,193,171,21,1,7,88.60103626943005,3.6269430051813467,10.880829015544041,75.44,68,42,61,477.462,53339,15735,0.160017,0.23602499999999998,0.396042
anthropic_claude-sonnet-4.5,pull-stream,1,run1,,351,922,787,128,7,30,85.35791757049893,3.2537960954446854,13.882863340563992,68.61,473,247,67,1234.963,188727,85801,0.566181,1.287015,1.853196
anthropic_claude-sonnet-4.5,spacl-core,1,run1,,134,347,240,104,3,20,69.164265129683,5.763688760806916,29.971181556195965,93.04,214,16,0,909.41,155672,32777,0.467016,0.491655,0.958671
anthropic_claude-sonnet-4.5,zip-a-folder,1,run1,,49,135,114,17,4,6,84.44444444444444,4.444444444444445,12.592592592592592,95.61,23,5,86,1125.797,81937,12072,0.245811,0.18108,0.426891
deepseek_deepseek-chat-v3.1,Complex.js,1,run1,,490,1330,1106,209,15,109,83.15789473684211,8.195488721804512,15.714285714285714,54.79,606,500,0,345.111,790798,109244,0.16606758,0.08630275999999999,0.25237033999999997
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,run1,,106,298,261,33,4,15,87.58389261744966,5.033557046979865,11.073825503355705,82.76,216,45,0,269.919,85122,23905,0.01787562,0.01888495,0.03676057
deepseek_deepseek-chat-v3.1,node-jsonfile,1,run1,,68,197,176,21,0,5,89.34010152284264,2.5380710659898478,10.65989847715736,80.11,70,35,71,509.136,47357,14066,0.009944970000000001,0.011112140000000001,0.021057110000000004
deepseek_deepseek-chat-v3.1,pull-stream,1,run1,,351,1025,829,184,12,24,80.87804878048782,2.341463414634146,17.95121951219512,65.98,486,282,61,1245.935,171029,76260,0.03591609,0.0602454,0.09616148999999999
deepseek_deepseek-chat-v3.1,spacl-core,1,run1,,134,377,261,111,5,24,69.23076923076923,6.36604774535809,29.44297082228117,83.33,199,40,1,941.485,139593,28361,0.02931453,0.022405190000000002,0.05171972
deepseek_deepseek-chat-v3.1,zip-a-folder,1,run1,,49,144,120,21,3,3,83.33333333333334,2.083333333333333,14.583333333333334,95.83,24,5,91,1232.632,66504,10744,0.013965839999999998,0.00848776,0.022453599999999997
google_gemini-3.1-flash-lite,Complex.js,1,run1,,490,1380,1142,205,33,72,82.7536231884058,5.217391304347826,14.855072463768115,57.01,650,491,1,341.93,,,,,
google_gemini-3.1-flash-lite,countries-and-timezones,1,run1,,106,303,250,51,2,15,82.50825082508251,4.9504950495049505,16.831683168316832,88,220,30,0,251.817,,,,,
google_gemini-3.1-flash-lite,node-jsonfile,1,run1,,68,199,160,39,0,5,80.40201005025126,2.512562814070352,19.597989949748744,77.5,58,36,66,488.398,,,,,
google_gemini-3.1-flash-lite,pull-stream,1,run1,,351,1038,809,225,4,16,77.9383429672447,1.5414258188824663,21.67630057803468,68.11,482,258,69,1272.511,,,,,
google_gemini-3.1-flash-lite,spacl-core,1,run1,,134,383,259,120,4,16,67.62402088772846,4.177545691906006,31.33159268929504,84.62,209,38,0,974.462,,,,,
google_gemini-3.1-flash-lite,zip-a-folder,1,run1,,49,143,117,21,5,5,81.81818181818183,3.4965034965034967,14.685314685314685,94.02,19,7,91,1157.738,,,,,
google_gemini-3.5-flash,Complex.js,1,run1,,490,1369,1172,170,27,92,85.60993425858291,6.7202337472607745,12.41782322863404,55.03,645,527,0,341.707,894841,107843,1.3422615,0.970587,2.3128485
google_gemini-3.5-flash,countries-and-timezones,1,run1,,106,302,263,36,3,14,87.08609271523179,4.635761589403973,11.920529801324504,80.99,213,50,0,275.239,93198,24543,0.139797,0.220887,0.360684
